text,label
Warwick,GPE
RI,GPE
"March 21, 2013",DATE
Kelly Owens,PERSON
Office of Waste Management,ORG
Rhode Island Department of Environmental Management,ORG
RIDEM,ORG
Providence,GPE
RI,GPE
Bristol,GPE
RI,GPE
108,CARDINAL
Owens,PERSON
Domenico Bucci,PERSON
Irma Santilli,PERSON
"Alliance Environmental Group, Inc.",ORG
AEG,ORG
Section 5 of the RIDEM Remediation Regulations,LAW
November 2011,DATE
United States Geological Survey,ORG
USGS,ORG
Site,FAC
Site,FAC
13,CARDINAL
AEG,ORG
the “Dig and Haul” Policy,LAW
"Alliance Environmental Group, Inc.",ORG
Warwick,GPE
RI,GPE
02888,CARDINAL
401.732.7600,CARDINAL
401.732.7670,CARDINAL
AVENUE BRISTOL,GPE
RI,GPE
Irma Santilli,PERSON
Morningside Drive,FAC
West Warwick,GPE
RI,GPE
02893,CARDINAL
401-732-,CARDINAL
509,CARDINAL
Metacom Avenue,FAC
Metacom Avenue,FAC
Bristol,GPE
RI,GPE
108,CARDINAL
0.62,CARDINAL
41,CARDINAL
71°15.766'W,CARDINAL
Jacob H. Butterworth,PERSON
"Alliance Environmental Group, Inc.",ORG
401-732-7600,CARDINAL
1,CARDINAL
March 2013,DATE
Unknown,ORG
between approximately 6 ppm to 11 ppm,QUANTITY
0.09,CARDINAL
November 2011,DATE
500 feet,QUANTITY
Domenico Bucci,PERSON
Irma Santilli,PERSON
Morningside Drive,FAC
West Warwick,GPE
RI,GPE
02818,CARDINAL
"the RIDEM ""Dig and Haul Policy""",LAW
November 2011,DATE
1,CARDINAL
509,CARDINAL
BRISTOL,GPE
RI,GPE
2167,CARDINAL
Warwick,GPE
02888,CARDINAL
401.732.7600,CARDINAL
401.732.7670,CARDINAL
Jacob Butterworth,PERSON
220,CARDINAL
Warwick,GPE
RI,GPE
02888,CARDINAL
"February 20, 2013",DATE
Dawn Wojcik,PERSON
"NEW ENGLAND TESTING LABORATORY, INC",ORG
Providence,GPE
(401) 353-3420,CARDINAL
1%,PERCENT
New England Testing Laboratory,ORG
"February 14, 2013",DATE
0-6,CARDINAL
0-6,CARDINAL
8100,CARDINAL
"Standard Methods for the Examination of Water and Wastewater, 20"" Edition",WORK_OF_ART
1998,DATE
2,CARDINAL
17,CARDINAL
NETLAB,ORG
NETLAB,ORG
NETLAB,ORG
3,CARDINAL
17,CARDINAL
4,CARDINAL
14,CARDINAL
5,CARDINAL
14,CARDINAL
6,CARDINAL
7,CARDINAL
81.9,CARDINAL
"New England Testing Laboratory, Inc.",ORG
8,CARDINAL
17,CARDINAL
68.96,CARDINAL
2/19/13 2/9/13,DATE
0.108,CARDINAL
2/19/13 2/19/13,DATE
0.28,CARDINAL
9,CARDINAL
17,CARDINAL
2/19/13 2/19/13,DATE
2/19/13 2/9/13,DATE
0.33,CARDINAL
2/9/13 2/19/13,DATE
"New England Testing Laboratory, Inc.",ORG
10,CARDINAL
17,CARDINAL
13.3,CARDINAL
66.7,CARDINAL
66.7,CARDINAL
66.7,CARDINAL
66.7,CARDINAL
0.133,CARDINAL
13.3,CARDINAL
33.3,CARDINAL
12.5,CARDINAL
64.9,CARDINAL
62.4,CARDINAL
67.4,CARDINAL
66.4,CARDINAL
0.136,CARDINAL
11.7,CARDINAL
32.5,CARDINAL
94 97,CARDINAL
"New England Testing Laboratory, Inc.",ORG
2/19/13 2/20/13,DATE
11,CARDINAL
17,CARDINAL
the Organics Analysis Department,ORG
12,CARDINAL
14,CARDINAL
8270,CARDINAL
20.099,CARDINAL
2/13/2013,DATE
2/19/2013,DATE
31.04,CARDINAL
2/20/2013,DATE
1000,CARDINAL
1.0,CARDINAL
1.0,CARDINAL
"New England Testing Laboratory, Inc.",ORG
13,CARDINAL
14,CARDINAL
8270,CARDINAL
20,CARDINAL
2/13/2013,DATE
2/19/2013,DATE
0,CARDINAL
1000,CARDINAL
1.0,CARDINAL
1.0,CARDINAL
14,CARDINAL
2,MONEY
3,MONEY
1,CARDINAL
1,CARDINAL
15,CARDINAL
14,CARDINAL
1840,DATE
1860,DATE
1795 %,PERCENT
16,CARDINAL
17,CARDINAL
RI,GPE
4% .,PERCENT
letlab,ORG
220,CARDINAL
Warwick,GPE
RI,GPE
"March 12, 2013",DATE
Richard Warila,PERSON
"NEW ENGLAND TESTING LABORATORY, INC",ORG
North Providence,GPE
RI,GPE
02904,CARDINAL
(401) 353-3420,CARDINAL
New England Testing Laboratory,ORG
"March 6, 2013",DATE
2,CARDINAL
1,CARDINAL
NETLAB,ORG
Standard Operating Procedures,LAW
3,CARDINAL
1,CARDINAL
NETLAB,ORG
the Metals Analysis Department,ORG
