text,label
Providence,GPE
RI,GPE
"March 29, 2013",DATE
Domenico Bucci,PERSON
Irma Santilli,PERSON
34,CARDINAL
West Warwick,GPE
RI,GPE
02893,CARDINAL
509,CARDINAL
509,CARDINAL
Bristol,GPE
Rhode Island,GPE
108,CARDINAL
7,CARDINAL
Domenico Bucci,PERSON
Irma Santilli,PERSON
"November 9, 2011",DATE
the Rhode Island Department of Environmental Management,ORG
Department,ORG
Rules and Regulations for the Investigation and Remediation of Hazardous Material Releases,LAW
the Remediation Regulations,LAW
A Letter of Responsibility,LAW
Department,ORG
Department,ORG
a Performing Party,ORG
1,CARDINAL
"509 Metacom Avenue, Bristol, Rhode Island (the Site).",QUANTITY
the Town of Bristol Tax Assessor’s Office,ORG
108,CARDINAL
7,CARDINAL
2,CARDINAL
Department,ORG
Department,ORG
"March 25, 2013",DATE
"Alliance Environmental Group, Inc.",ORG
AEG,ORG
3,CARDINAL
Department,ORG
Method 1 Direct Exposure Criteria,LAW
the Remediation Regulations,LAW
4,CARDINAL
"Rules 3.33, 3.34",LAW
3.63,CARDINAL
Metacom Avenue,FAC
Bristol,GPE
"March 29, 2013",DATE
1,CARDINAL
2,CARDINAL
30%,PERCENT
5,CARDINAL
Domenico Bucci,PERSON
Irma Santilli,PERSON
Town of Bristol Tax Assessor’s,ORG
a Responsible Party,ORG
Rule 3.70 of the Remediation Regulations,LAW
Department,ORG
Domenico Bucci,PERSON
Irma Santilli,PERSON
1,CARDINAL
Rule 6.09,LAW
the Short-Term Response Action,LAW
Department,ORG
thirty (30) days,DATE
the Short-Term Response Action,LAW
2,CARDINAL
The Performing Party,ORG
the Contaminated-Site,LOC
the Short-Term Response Action,LAW
the Short-Term Response Report,LAW
Rule 6.09.,LAW
Department,ORG
Domenico Bucci,PERSON
Irma Santilli,PERSON
Department,ORG
(401) 222-2797,CARDINAL
7026,CARDINAL
ashley. blauvelt@dem.ri.gov,ORG
Ashley L. Blauvelt,PERSON
Office of Waste Management,ORG
Kelly J. Owens,PERSON
RIDEM/OWM,ORG
Timothy M. Fleury,PERSON
RIDEM/OWM,ORG
Jacob H. Butterworth,PERSON
"Alliance Environmental Group, Inc",ORG
509,CARDINAL
Metacom Avenue,FAC
Bristol,GPE
"March 29, 2013",DATE
2,CARDINAL
2,CARDINAL
