text,label
Warwick,GPE
RI,GPE
"April 19, 2013",DATE
Ashley L. Blauvelt,PERSON
Rhode Island,GPE
Department of Environmental Management,ORG
RIDEM,ORG
Providence,GPE
RI,GPE
Bristol,GPE
RI,GPE
2013-013,DATE
Blauvelt,PERSON
"Alliance Environmental Group, Inc.",ORG
AEG,ORG
Domenico Bucci,PERSON
Irma Santilli,PERSON
approximately 150 yards,QUANTITY
RIDEM,ORG
2013-013,DATE
Dig and Haul Policy,WORK_OF_ART
"April 11 and 12, 2013",DATE
the Portsmouth Landfill,FAC
Park Avenue,FAC
Portsmouth,GPE
Rhode Island,GPE
April 11,DATE
AEG,ORG
four,CARDINAL
4,CARDINAL
one,CARDINAL
1,CARDINAL
>25 feet,QUANTITY
Rhode Island,GPE
2198,CARDINAL
Metacom Avenue,FAC
Bristol,GPE
RI,GPE
2013-13,DATE
April 2013,DATE
April 12,DATE
AEG,ORG
AEG,ORG
"April 13""",DATE
four,CARDINAL
4,CARDINAL
the RIDEM DEC,ORG
1,CARDINAL
509,CARDINAL
Metacom Avenue,FAC
Bristol,GPE
RI,GPE
201 301,CARDINAL
6.37,CARDINAL
3.12,CARDINAL
4.10,CARDINAL
5.91,CARDINAL
3.18,CARDINAL
7.0,CARDINAL
1.,CARDINAL
million,CARDINAL
2,CARDINAL
RIDEM DEC,ORG
the Remediation Regulations,LAW
1,CARDINAL
2,CARDINAL
Rule 8 of the Remediation Regulations,LAW
2198,CARDINAL
Metacom Avenue,FAC
Bristol,GPE
RI,GPE
2013-13,DATE
April 2013,DATE
the Rules and Regulations for Groundwater Quality Groundwater,LAW
the Rhode Island Geographic Information System,ORG
Section VI,LAW
the Short-Term Response Report for Expedited Excavation and Disposal Action,WORK_OF_ART
Section VI,LAW
Rule 6 of the Remediation Regulations Notices,LAW
Rule 6 of the Remediation Regulations,LAW
"April 17, 2013",DATE
"Alliance Environmental Group, Inc.",ORG
Jacob H. Jacob H. ee,PERSON
Butterworth,PERSON
1,CARDINAL
2,CARDINAL
Warwick,GPE
RI,GPE
02888,CARDINAL
401.732.7600,CARDINAL
401.732.7670,CARDINAL
1,CARDINAL
509,CARDINAL
RI,GPE
2198,CARDINAL
2,CARDINAL
RI,GPE
Warwick,GPE
RI,GPE
02888,CARDINAL
401.732.7600,CARDINAL
401.732.7670,CARDINAL
Warwick,GPE
"April 12, 2013",DATE
North Providence,GPE
RI,GPE
New England Testing Laboratory,ORG
"April 12, 2013",DATE
43,CARDINAL
12,CARDINAL
2,CARDINAL
12,CARDINAL
NETLAB,ORG
NETLAB,ORG
3,CARDINAL
12,CARDINAL
4,CARDINAL
12,CARDINAL
12,CARDINAL
6,CARDINAL
12,CARDINAL
7,CARDINAL
8,CARDINAL
9,CARDINAL
12,CARDINAL
10,CARDINAL
12,CARDINAL
12,CARDINAL
11,CARDINAL
12,CARDINAL
Portsmouth,GPE
Portsmouth,GPE
Portsmouth,GPE
Park Ave,LOC
Portsmouth,GPE
RI,GPE
Portsmouth,GPE
Portsmouth,GPE
Portsmouth,GPE
Portsmouth,GPE
2013,DATE
Portsmouth,GPE
Portsmouth,GPE
Portsmouth,GPE
Park Ave,FAC
Portsmouth,GPE
RI,GPE
Portsmouth,GPE
RI,GPE
Portsmouth,GPE
Portsmouth,GPE
RI,GPE
Portsmouth,GPE
Portsmouth,GPE
Portsmouth,GPE
RI,GPE
Irma Santilli,PERSON
Rhode Island,GPE
108,CARDINAL
State,ORG
up to 1000 cubic yards,QUANTITY
March 2013,DATE
4/11/13 Completion,DATE
4/12/13 Concentrations,DATE
7 ~ 11 ppm,PERCENT
20,CARDINAL
Warren,GPE
Rhode Tsland,GPE
02885,CARDINAL
401,CARDINAL
447,CARDINAL
508,CARDINAL
Jacob H. Butterworth,PERSON
Rule 6.06 (Public Notice Requirements,LAW
the Remediation Regulations,LAW
Policy Memo 2012-01,LAW
Rule 6.0 of the Remediation Regulations,LAW
3,CARDINAL
4,CARDINAL
the Short Term Response Report for Expedited Excavation and Disposal Action,WORK_OF_ART
5,CARDINAL
Jacob H. Butterworth,PERSON
"Alliance Environmental Group up, Inc",ORG
Weacwicke,GPE
RI,GPE
0288,CARDINAL
401-732-,CARDINAL
RI,GPE
401.732.7600,CARDINAL
401.732.7670,CARDINAL
"Group, Inc.",ORG
"April 18, 2013",DATE
Bristol,GPE
RI,GPE
2013-013,DATE
"Alliance Environmental Group, Inc.",ORG
AEG,ORG
Domenico Bucci,PERSON
Irma Santilli,PERSON
RIDEM,ORG
RIDEM,ORG
Ashley L. Blauvelt,PERSON
RIDEM Office of Waste Management,ORG
Providence,GPE
RI,GPE
Ashely.,PERSON
108,CARDINAL
108,CARDINAL
150,CARDINAL
Bristol,GPE
RI,GPE
078095145,CARDINAL
4/17/2013 3:23 PM,DATE
