text,label
RHODE ISLAND,GPE
Providence,GPE
RI,GPE
"May 2, 2013",DATE
Domenico Bucci,PERSON
Irma Santilli,PERSON
West Warwick,GPE
RI,GPE
02891,CARDINAL
Bristol,GPE
Rhode Island,GPE
108,CARDINAL
7,CARDINAL
Domenico Bucci,PERSON
Irma Santilli,PERSON
The Rhode Island Department of Environmental Management’s,ORG
Department,ORG
Office of Waste Management,ORG
OWM,ORG
"April 26, 2013,",DATE
"Alliance Environmental Group, Inc.",ORG
AEG,ORG
Section 9.00 of the Department’s,LAW
the Remediation Regulations,LAW
the Guidelines for Expedited Excavation and Disposal Response Actions,LAW
the Closure Report,WORK_OF_ART
Department,ORG
401) 222-2797,CARDINAL
7026,CARDINAL
ashley. blauvelt@dem.ri.gov,ORG
Sanitary Engineer,ORG
Office of Waste Management,ORG
Kelly J. Owens,PERSON
RIDEM/OWM,ORG
Timothy M. Fleury,PERSON
RIDEM/OWM,ORG
Jacob H. Butterworth,PERSON
"Alliance Environmental Group, Inc.",ORG
509,CARDINAL
"May 2, 2013",DATE
2,CARDINAL
30%,PERCENT
"May 2, 2013",DATE
"April 26, 2013",DATE
Metacom Avenue,FAC
Bristol,GPE
Rhode Island,GPE
1,CARDINAL
first,ORDINAL
Department,ORG
AEG,ORG
96 additional cubic yards,QUANTITY
"April 12, 2013",DATE
2,CARDINAL
2,CARDINAL
second,ORDINAL
"April 13, 2013",DATE
first,ORDINAL
"April 11, 2013",DATE
second,ORDINAL
first,ORDINAL
second,ORDINAL
3,CARDINAL
2,CARDINAL
approximately 45 feet,QUANTITY
less than 25 feet,QUANTITY
2,CARDINAL
the Dig & Haul Policy,LAW
4,CARDINAL
The Closure Report,WORK_OF_ART
one,CARDINAL
second,ORDINAL
5,CARDINAL
first,ORDINAL
6,CARDINAL
"June 7, 2013",DATE
509,CARDINAL
Metacom Avenue,FAC
"May 2, 2013",DATE
2,CARDINAL
2,CARDINAL
