text,label
Warwick,GPE
RI,GPE
401.732.7670,CARDINAL
220,CARDINAL
"May 6, 2013",DATE
Ashley L. Blauvelt,PERSON
Rhode Island,GPE
Department of Environmental Management,ORG
RIDEM,ORG
Office of Waste Management,ORG
1,CARDINAL
Providence,GPE
RI,GPE
02908,CARDINAL
509,CARDINAL
Metacom Avenue,FAC
Bristol,GPE
RI,GPE
2013-013,DATE
Blauvelt,PERSON
"Alliance Environmental Group, Inc.",ORG
AEG,ORG
RIDEM,ORG
"May 2, 2013",DATE
RIDEM,ORG
#1,CARDINAL
first,ORDINAL
AEG,ORG
96 additional cubic yards,QUANTITY
"April 12, 2013",DATE
the initial day,DATE
that day,DATE
AEG,ORG
200,CARDINAL
April 11,DATE
AEG,ORG
2198,CARDINAL
Bristol,GPE
RI,GPE
May 2013,DATE
April 12,DATE
DEC,ORG
"April 12""",DATE
AEG,ORG
"Saturday, April 13, 2013,",DATE
April 12,DATE
April 11,DATE
four,CARDINAL
4,CARDINAL
300,CARDINAL
April 12,DATE
2,CARDINAL
2,CARDINAL
second,ORDINAL
"April 13, 2013,",DATE
first,ORDINAL
"April 11, 2013",DATE
second,ORDINAL
first,ORDINAL
second,ORDINAL
the initial day,DATE
April 11,DATE
AEG,ORG
the end of the day,TIME
AEG,ORG
April 12',DATE
"April 12""",DATE
AEG,ORG
"April 13""",DATE
second,ORDINAL
300,CARDINAL
200,CARDINAL
3,CARDINAL
2,CARDINAL
approximately 45 feet,QUANTITY
less than 25 feet,QUANTITY
2,CARDINAL
the Dig & Haul Policy,LAW
greater than 25’.,QUANTITY
AEG,ORG
Al lance Environmental,ORG
Metacom Avenue,FAC
Bristol,GPE
Rl,GPE
2013,DATE
May 2013,DATE
1”,CARDINAL
#4,CARDINAL
one,CARDINAL
second,ORDINAL
1,CARDINAL
509,CARDINAL
Bristol,GPE
RI,GPE
"April 11'""/12"""", 2013",DATE
6.37,CARDINAL
7.2,CARDINAL
3.12,CARDINAL
10.9/4.10,CARDINAL
11.4/5.91,CARDINAL
9.46,CARDINAL
7.0,CARDINAL
1,CARDINAL
million,CARDINAL
2,CARDINAL
the Remediation Regulations #5,LAW
first,ORDINAL
"Alliance Environmental Group, Inc.",ORG
Jacob H. Dhken=,PERSON
Jacob H. Butterworth,PERSON
2,CARDINAL
Warwick,GPE
Jacob Butterworth Alliance Environmental Group,ORG
Warwick,GPE
RI,GPE
02888,CARDINAL
"April 12, 2013",DATE
Richard Warila,PERSON
North Providence,GPE
RI,GPE
02904,CARDINAL
(401) 353-3420,CARDINAL
12,CARDINAL
New England Testing Laboratory,ORG
"April 12, 2013",DATE
"NELYUWLAB CS New England Testing Laboratory, Inc.",ORG
2,CARDINAL
12,CARDINAL
NETLAB,ORG
Standard Operating Procedures,LAW
3,CARDINAL
12,CARDINAL
NETLAB,ORG
the Metals Analysis Department,ORG
"New England Testing Laboratory, Inc.",ORG
4,CARDINAL
12,CARDINAL
79.76,CARDINAL
7.25 0.88 mg/kg,QUANTITY
"New England Testing Laboratory, Inc.",ORG
5,CARDINAL
12,CARDINAL
4/13,CARDINAL
79.29,CARDINAL
6,CARDINAL
12,CARDINAL
7,CARDINAL
12,CARDINAL
76.06,CARDINAL
"New England Testing Laboratory, Inc.",ORG
8,CARDINAL
12,CARDINAL
82.05,CARDINAL
6.37 0.86,CARDINAL
"New England Testing Laboratory, Inc.",ORG
9,CARDINAL
12,CARDINAL
1,CARDINAL
100,CARDINAL
"New England Testing Laboratory, Inc.",ORG
10,CARDINAL
12,CARDINAL
13.3,CARDINAL
89 80 120,CARDINAL
"New England Testing Laboratory, Inc.",ORG
11,CARDINAL
12,CARDINAL
"NEW ENGLAND TESTING LABORATORY, INC",ORG
Providence,GPE
RI,GPE
Warwick,GPE
RI,GPE
02888,CARDINAL
"April 15, 2013",DATE
North Providence,GPE
RI,GPE
02904,CARDINAL
(401) 353-3420,CARDINAL
11,CARDINAL
New England Testing Laboratory,ORG
"April 15, 2013",DATE
2,CARDINAL
11,CARDINAL
NETLAB,ORG
3,CARDINAL
11,CARDINAL
NETLAB,ORG
the Metals Analysis Department,ORG
"New England Testing Laboratory, Inc.",ORG
4,CARDINAL
4/15/13 Matrix,DATE
83.39,CARDINAL
3.12 0.85 me,QUANTITY
4/15/13 ANS/13,DATE
"New England Testing Laboratory, Inc.",ORG
5,CARDINAL
11,CARDINAL
81.45,CARDINAL
6,CARDINAL
11,CARDINAL
81.92,CARDINAL
7,CARDINAL
11,CARDINAL
"New England Testing Laboratory, Inc",ORG
8,CARDINAL
11,CARDINAL
9,CARDINAL
10,CARDINAL
11,CARDINAL
