text,label
1,CARDINAL
Ashley Blauvelt,PERSON
Lauren,PERSON
"Thursday, May 16, 2013",DATE
11:48 AM,TIME
Ashley Blauvelt,PERSON
Jacob,PERSON
Metacom Avenue,FAC
Bristol,GPE
RI,GPE
Ashley,PERSON
a nice day,DATE
Lauren G. Peters,PERSON
"Alliance Environmental Group, Inc.",ORG
Warwick,GPE
RI,GPE
02888,CARDINAL
401.732.7600,CARDINAL
401.732.7670,CARDINAL
Dedicated to Responsive and Resourceful Solutions,WORK_OF_ART
5/17/2013,DATE
Warwick,GPE
RI,GPE
02888,CARDINAL
401.732.7670,CARDINAL
220,CARDINAL
"April 18, 2013",DATE
509,CARDINAL
Bristol,GPE
RI,GPE
"Alliance Environmental Group, Inc.",ORG
AEG,ORG
Domenico Bucci,PERSON
Irma Santilli,PERSON
RIDEM,ORG
RIDEM,ORG
Ashley L. Blauvelt,PERSON
RIDEM Office of Waste Management,ORG
Providence,GPE
Ashely.Blauvelt@DEM.RI.Gov AllianceEGI.com,PERSON
158.999,CARDINAL
Bristol,GPE
RI,GPE
159,CARDINAL
