text,label
RHODE ISLAND,GPE
Providence,GPE
RI,GPE
"May 20, 2013",DATE
2013-013,DATE
Domenico Bucci,PERSON
Irma Santilli,PERSON
34,CARDINAL
West Warwick,GPE
RI,GPE
02891,CARDINAL
Bristol,GPE
Rhode Island,GPE
108,CARDINAL
7,CARDINAL
Domenico Bucci,PERSON
Irma Santilli,PERSON
"November 9, 2011",DATE
the Rhode Island Department of Environmental Management,ORG
Department,ORG
Rules and Regulations for the Investigation and Remediation of Hazardous Material Releases,LAW
the Remediation Regulations,LAW
Office of Waste Management,ORG
OWM,ORG
the Remediation Regulations,LAW
Site,FAC
1,CARDINAL
Department,ORG
"March 25, 2013",DATE
"Alliance Environmental Group, Inc.",ORG
AEG,ORG
2,CARDINAL
Department,ORG
"April 26, 2013",DATE
AEG,ORG
3,CARDINAL
Department,ORG
"May 7, 2013",DATE
AEG,ORG
4.,CARDINAL
509,CARDINAL
Metacom Avenue,FAC
Bristol,GPE
RI,GPE
Department,ORG
"May 16, 2013",DATE
AEG,ORG
OWM,ORG
the Remediation Regulations,LAW
OWM,ORG
the Remediation Regulations,LAW
Metacom Avenue,FAC
Bristol,GPE
"May 20, 2013",DATE
No Further Action Letter,WORK_OF_ART
1,CARDINAL
2,CARDINAL
30%,PERCENT
Department,ORG
Department,ORG
State,ORG
Department,ORG
401) 222-2797,CARDINAL
7026,CARDINAL
ashley. blauvelt@dem.ri.gov.,PERSON
Timothy M. Fleury,PERSON
Office of Waste Management,ORG
Office of Waste Management,ORG
Kelly J. Owens,PERSON
RIDEM/OWM,ORG
Jacob H. Butterworth,PERSON
"Alliance Environmental Group, Inc.",ORG
Metacom Avenue,FAC
Bristol,GPE
"May 20, 2013",DATE
2,CARDINAL
2,CARDINAL
