text,label
Johnston & Wales University,ORG
JWU,ORG
"Vanasse Hangen Brustlin, Inc.",ORG
VHB,ORG
56,CARDINAL
326,CARDINAL
55,CARDINAL
Shipyard Street,FAC
Providence,GPE
Rhode Island,GPE
the American Society of Testing and Materials (ASTM),LAW
JWU,ORG
"February 18, 2011",DATE
Site,FAC
City Towing and Recovery,ORG
approximately 1970,DATE
56,CARDINAL
Providence Tax Assessor's,FAC
326,CARDINAL
one,CARDINAL
Site,FAC
Site,FAC
1950,DATE
1956,DATE
1988-2006,DATE
2011,DATE
Site,FAC
Providence,GPE
"Environmental Data Resources, Inc.",ORG
e RCRA (,LAW
the Rhode Island Department of Environmental Management,ORG
RIDEM,ORG
35 gallons,QUANTITY
"May 6, 1997",DATE
RIDEM,ORG
Harborside Park,FAC
Shipyard Street,LOC
Providence,GPE
Rhode Island,GPE
Citgo Terminal,FAC
Providence,GPE
Rhode Island,GPE
Providence DPW Garage,FAC
Providence,GPE
Rhode Island,GPE
Sanborn Maps,ORG
VHB,ORG
"April 18, 2011",DATE
Section 5,LAW
VHB,ORG
Site,FAC
one,CARDINAL
Six,CARDINAL
one,CARDINAL
35 gallons,QUANTITY
"May 6, 1997",DATE
Site,FAC
o Harborside Park,ORG
Shipyard Street,LOC
Providence,GPE
Rhode Island,GPE
o Former Citgo.,ORG
Ernest Street,LOC
Providence,GPE
Rhode Island,GPE
o Providence DPW Garage,ORG
Ernest Street,LOC
Providence,GPE
Rhode Island,GPE
ASTM,ORG
JWU,ORG
II,CARDINAL
VHB,ORG
Site,FAC
RIDEM,ORG
National Grid,ORG
