text,label
1.0,CARDINAL
246,CARDINAL
218,CARDINAL
1363 Greenwich Avenue,LOC
246,CARDINAL
298,CARDINAL
Warwick,GPE
Rhode Island,GPE
"July 6, 2007",DATE
ATC Lincoln Associates,ORG
ATC Lincoln,ORG
"Gordon R. Archibald, Inc.",ORG
218,CARDINAL
298,CARDINAL
246,CARDINAL
65 Centerville Road,FAC
1363 Greenwich Avenue,FAC
Warwick,GPE
Rhode Island,GPE
ATC Lincoln’s,ORG
the Warwick Tax Assessor’s Office,ORG
218,CARDINAL
298,CARDINAL
246,CARDINAL
218,CARDINAL
298,CARDINAL
approximately 1.81 acres,QUANTITY
five,CARDINAL
People’s Storage Warehouse,FAC
#1,CARDINAL
Sawtooth Building,FAC
#2,CARDINAL
Jet-Dock,FAC
#3,CARDINAL
#4,CARDINAL
the Sanborn Maps,ORG
the Apponaug Co. Dyeing Bleaching & Print Works,ORG
the Aspinook Corporation,ORG
Apponaug Division,ORG
"Dyeing, Bleaching, and Print Works",ORG
from at least 1911,DATE
1958,DATE
the 1960’s,DATE
One,CARDINAL
"3,000-gallon",QUANTITY
first,ORDINAL
the People’s Storage Warehouse,FAC
#1,CARDINAL
eight-foot,QUANTITY
One,CARDINAL
275-gallon,QUANTITY
the People’s Storage Warehouse,FAC
#1,CARDINAL
One,CARDINAL
275-gallon,QUANTITY
1,CARDINAL
2,CARDINAL
Rig Rite,ORG
#4,CARDINAL
Two,CARDINAL
65,CARDINAL
Centerville Road,FAC
"November 7, 1995",DATE
the Warwick Department of Public Works Sewer Department,ORG
1363,CARDINAL
Greenwich Avenue,FAC
Three,CARDINAL
February 1961,DATE
November 1966,DATE
September 1969,DATE
February 2005,DATE
two,CARDINAL
the Rhode Island Department of Environmental Management,ORG
RIDEM,ORG
Resource Conservation and Recovery Act,LAW
Centerville Road,FAC
246,CARDINAL
218,CARDINAL
1363 Greenwich Avenue,FAC
246,CARDINAL
298,CARDINAL
Warwick,GPE
Rhode Island,GPE
"July 6, 2007",DATE
Fire Department,ORG
"June 23, 1986",DATE
1363 Greenwich Avenue,FAC
RIDEM,ORG
"Fiber Glass Manufacturing, Co.",ORG
Fire Department,ORG
"2,250-gallon",QUANTITY
UST,PRODUCT
65 Centerville Road,FAC
1950,DATE
"2,000-gallon",QUANTITY
UST,PRODUCT
1363,CARDINAL
Greenwich Avenue,FAC
1960,DATE
RIDEM,ORG
September 1989,DATE
"250,000-gallon",QUANTITY
2,CARDINAL
UST,PRODUCT
RIDEM,ORG
November 1989,DATE
one,CARDINAL
"2,000-gallon",QUANTITY
UST,PRODUCT
RIDEM,ORG
RIDEM,ORG
Three,CARDINAL
0.50-mile,QUANTITY
STATE,ORG
Eleven,CARDINAL
0.50-mile,QUANTITY
Three,CARDINAL
UST,ORG
"Applied Enviro-Tech, Inc.",ORG
May 2004,DATE
Centerville Road,FAC
