text,label
June 2013,DATE
Woonsocket,GPE
RI,GPE
TFL&A,ORG
1,CARDINAL
"Theodore F Low & Associates, inc",ORG
TFL&A,ORG
the City of Woonsocket,GPE
Rhode Island,GPE
Section 7.0 of the Remediation Regulations,LAW
TFL&A,ORG
TFL&A,ORG
"March 29, 2013",DATE
Fourteen,CARDINAL
14,CARDINAL
3,CARDINAL
approximately twenty (20) to twenty-five (25) feet,QUANTITY
approximately fifteen (15) to twenty (20) feet,QUANTITY
Thirteen,CARDINAL
13,CARDINAL
ESS Laboratory,ORG
Cranston,GPE
Rhode Island,GPE
USEPA,ORG
USEPA,ORG
8100,CARDINAL
USEPA,ORG
"April 16, 2013",DATE
TFL&A,ORG
one,CARDINAL
eight,CARDINAL
ESS,ORG
USEPA,ORG
RIDEM,ORG
the December 1012,LAW
Phase I,LAW
June 2013,DATE
Woonsocket,GPE
RI,GPE
the RIDEM Regulations,LAW
10,CARDINAL
15,CARDINAL
Department,ORG
ELUR,ORG
Six (6) inches,QUANTITY
four (4) inch,QUANTITY
Two (2) feet,QUANTITY
One (1) foot,QUANTITY
120 pounds,QUANTITY
400 psi,QUANTITY
the EXPRESS Policy,LAW
EJ,ORG
3,CARDINAL
3.10,CARDINAL
